date,open,high,low,close,volume
2026-03-02,10.00,10.20,9.80,9.90,220000
2026-03-03,9.88,10.05,9.70,9.76,250000
2026-03-04,9.75,9.98,9.62,9.70,230000
2026-03-05,9.72,10.10,9.68,10.02,380000
2026-03-06,10.03,10.24,9.96,10.20,360000
2026-03-09,10.18,10.26,9.98,10.08,310000
2026-03-10,10.06,10.30,10.00,10.25,340000
2026-03-11,10.20,10.55,10.18,10.50,420000
2026-03-12,10.48,10.70,10.40,10.62,410000
2026-03-13,10.58,10.90,10.55,10.88,500000
2026-03-16,10.86,10.95,10.66,10.72,460000
2026-03-17,10.70,10.80,10.48,10.55,430000
2026-03-18,10.58,10.90,10.52,10.85,470000
2026-03-19,10.88,11.20,10.80,11.15,620000
2026-03-20,11.10,11.32,11.02,11.28,590000
2026-03-23,11.30,11.46,11.12,11.20,520000
2026-03-24,11.18,11.60,11.16,11.52,610000
2026-03-25,11.50,11.72,11.42,11.66,600000
2026-03-26,11.62,11.95,11.58,11.90,680000
2026-03-27,11.88,11.96,11.52,11.60,710000
2026-03-30,11.58,11.78,11.36,11.45,660000
2026-03-31,11.46,11.88,11.44,11.82,640000
2026-04-01,11.84,12.10,11.78,12.02,730000
2026-04-02,12.00,12.22,11.90,11.96,690000
2026-04-03,11.92,12.32,11.88,12.26,760000
2026-04-06,12.30,12.62,12.22,12.58,820000
2026-04-07,12.56,12.75,12.40,12.44,760000
2026-04-08,12.42,12.58,12.10,12.16,810000
2026-04-09,12.18,12.44,12.12,12.38,690000
2026-04-10,12.40,12.92,12.32,12.88,980000
